player_id,year,team,division,stat_types,age
cbp0000eb21bfbe,2021,SLU,1,pitching,
cbp0000eb21bfbe,2022,SLU,1,pitching,
cbp000174b6efec,2021,LAF,1,batting,
cbp000174b6efec,2022,LAF,1,batting,
cbp000174b6efec,2023,LAF,1,batting,
cbp0001ce29e47f,2024,UIW,1,batting,
cbp0001ce29e47f,2025,UIW,1,batting,
cbp0006fdfa9d31,2024,UCSB,1,pitching,21
cbp000895416153,2021,ND,1,batting,
cbp000895416153,2022,ND,1,batting,
cbp000ae9b721d1,2021,MIA,1,pitching,20
cbp000ae9b721d1,2022,OKST,1,pitching,21
cbp000c0b199aef,2021,ACU,1,pitching,
cbp000c0b199aef,2022,ACU,1,pitching,
cbp00104ffa4e37,2021,UNM,1,pitching,
cbp00104ffa4e37,2022,UNM,1,pitching,
cbp00104ffa4e37,2023,UNM,1,pitching,
cbp00131917d971,2025,MD,1,batting|pitching,19
cbp00196e2db86c,2023,NCAT,1,batting,
cbp00196e2db86c,2024,NCAT,1,batting,
cbp0020c85f4d20,2021,UIW,1,pitching,
cbp0020c85f4d20,2022,UIW,1,pitching,
cbp0020c85f4d20,2023,UIW,1,pitching,
cbp0020c85f4d20,2024,UIW,1,pitching,
cbp00216ca9f9bf,2025,CARK,1,batting,
cbp002db6dbcb1a,2022,NICH,1,batting,
cbp0031bf1a090a,2025,ORU,1,pitching,
cbp003264d6d706,2025,WIU,1,pitching,20
cbp0037997e45c1,2024,UNCW,1,pitching,19
cbp0037997e45c1,2025,UNCW,1,pitching,20
cbp0037daf9c0ab,2024,WAKE,1,pitching,20
cbp0037daf9c0ab,2025,CLEM,1,pitching,21
cbp003b2857d44a,2021,LR,1,pitching,
cbp003b2857d44a,2022,LR,1,pitching,
cbp003b478d2c61,2025,UTM,1,pitching,
cbp003cd653cc63,2022,KSU,1,batting,20
cbp003cd653cc63,2023,KSU,1,batting,21
cbp003d0f383f9f,2024,UNM,1,pitching,
cbp003d0f383f9f,2025,UNM,1,pitching,
cbp003f4b4a5072,2021,AFA,1,pitching,
cbp003f4b4a5072,2022,AFA,1,pitching,
cbp004062969d4e,2025,ARIZ,1,pitching,
cbp0045eb341121,2021,SBU,1,pitching,
cbp0049917e25e7,2022,FLA,1,pitching,20
cbp0049917e25e7,2023,FLA,1,pitching,21
cbp0049917e25e7,2024,FLA,1,pitching,22
cbp004a6db1d7b2,2024,CAN,1,pitching,
cbp004a6db1d7b2,2025,CAN,1,pitching,
cbp004b935815e7,2021,GONZ,1,batting,
cbp004b935815e7,2022,GONZ,1,batting,
cbp004b935815e7,2023,GONZ,1,batting,
cbp004bc5c27dcf,2024,W&M,1,batting,19
cbp004d6e9bfe7a,2022,UTAH,1,pitching,19
cbp004d6e9bfe7a,2023,UTAH,1,pitching,20
cbp004d8a819d53,2021,OHIO,1,batting,
cbp004e71b59c52,2025,EVAN,1,batting,20
cbp004f4d99c844,2021,MSM,1,batting,
cbp00508c9963fe,2021,HAW,1,pitching,21
cbp00508c9963fe,2022,HAW,1,pitching,22
cbp00508c9963fe,2023,HAW,1,pitching,23
cbp00527fc883e4,2021,CLEM,1,batting,
cbp00527fc883e4,2022,CLEM,1,batting,
cbp0056594109b9,2025,WOF,1,batting,19
cbp005d117423f5,2021,UPST,1,pitching,
cbp005d117423f5,2022,UPST,1,pitching,
cbp006055c8fae6,2023,PENN,1,pitching,18
cbp006055c8fae6,2024,PENN,1,pitching,19
cbp006055c8fae6,2025,PENN,1,pitching,20
cbp006ea5b91ec3,2023,SOU,1,pitching,
cbp006ea5b91ec3,2024,SOU,1,pitching,
cbp006f2d17c084,2021,BYU,1,pitching,20
cbp006f2d17c084,2022,BYU,1,pitching,21
cbp0073acd837e8,2021,RICE,1,pitching,19
cbp0073acd837e8,2022,RICE,1,pitching,20
cbp0073acd837e8,2023,RICE,1,pitching,21
cbp0073d779cafe,2021,NMSU,1,batting,
cbp0073d779cafe,2022,NMSU,1,batting,
cbp0073d779cafe,2023,NMSU,1,batting,
cbp0073e2c675bd,2022,CSUB,1,pitching,21
cbp0073e2c675bd,2023,CSUB,1,pitching,22
cbp0076518f711e,2024,SC,1,pitching,
cbp0076518f711e,2025,SC,1,pitching,
cbp00780c670ac9,2022,MISS,1,batting,20
cbp00780c670ac9,2023,MISS,1,batting,21
cbp00780c670ac9,2024,MISS,1,batting,22
cbp007b0a86f855,2021,NMSU,1,pitching,
cbp007b6893a627,2021,ARMY,1,pitching,
cbp007b6893a627,2022,ARMY,1,pitching,
cbp007b6893a627,2023,ARMY,1,pitching,
cbp007b6893a627,2024,ARMY,1,pitching,
cbp007e3cfc6b86,2022,UNA,1,batting,
cbp007e3cfc6b86,2023,UNA,1,batting,
cbp007e3cfc6b86,2024,UNA,1,batting,
cbp00827ad26ca9,2025,ETSU,1,batting,19
cbp008429d19dc5,2021,TNTC,1,batting,
cbp008429d19dc5,2022,TNTC,1,batting,
cbp0085d8d441ba,2025,CONN,1,pitching,
cbp008c79c4166f,2021,MER,1,batting,22
cbp008c79c4166f,2022,MER,1,batting,23
cbp008cb767b631,2022,AKR,1,pitching,
cbp008cb767b631,2023,AKR,1,pitching,
cbp008cb767b631,2024,AKR,1,pitching,
cbp008cb767b631,2025,AKR,1,pitching,
cbp008d14cc7807,2021,CCSU,1,batting,20
cbp008d14cc7807,2022,CCSU,1,batting,21
cbp008d14cc7807,2023,DEL,1,batting,22
cbp008f8f2beb67,2025,SDST,1,batting|pitching,19
cbp008ff5d475ab,2024,PRES,1,batting,19
cbp008ff5d475ab,2025,PRES,1,batting,20
cbp009010b147bd,2022,BC,1,pitching,20
cbp009010b147bd,2023,BC,1,pitching,21
cbp009010b147bd,2024,IU,1,pitching,22
cbp009010b147bd,2025,ARIZ,1,pitching,23
cbp0091fca6bd96,2021,TOL,1,batting,
cbp0092903b5417,2024,BAY,1,batting,
cbp00942ef4ef46,2025,SELA,1,pitching,
cbp009c6acf2d6e,2025,VILL,1,batting,21
cbp009e54983c22,2021,ORE,1,batting,
cbp009eff31512b,2022,GCU,1,batting,
cbp009f3f51485d,2024,ORST,1,pitching,
cbp009f3f51485d,2025,ORST,1,pitching,
cbp009fdcebdebd,2021,GWEB,1,batting,19
cbp009fdcebdebd,2022,GWEB,1,batting,20
cbp009fdcebdebd,2024,NCAT,1,batting,22
cbp009fdcebdebd,2025,NCAT,1,batting,23
cbp00a2abacdf8f,2023,MSM,1,batting,
cbp00a2abacdf8f,2024,MSM,1,batting,
cbp00a2e0d49320,2024,NEV,1,pitching,21
cbp00a2e0d49320,2025,NEV,1,pitching,22
cbp00a2ead9e591,2023,UNCO,1,batting,
cbp00a35281e159,2025,SBU,1,pitching,
cbp00a461c4c30c,2021,DAY,1,pitching,
cbp00a461c4c30c,2022,DAY,1,pitching,
cbp00a461c4c30c,2023,DAY,1,batting|pitching,
cbp00a7abfec836,2024,MIZ,1,batting,
cbp00a7abfec836,2025,MIZ,1,batting,
cbp00a8451b1a8c,2021,GTWN,1,pitching,
cbp00a9ad425991,2023,SDSU,1,batting,
cbp00ab3454792b,2021,UVA,1,pitching,
cbp00b0cd9ddfd0,2024,IU,1,batting,19
cbp00b0cd9ddfd0,2025,CIN,1,batting,20
cbp00b2ae60ec5a,2021,DEL,1,pitching,
cbp00b84e7a8b56,2023,NMSU,1,pitching,23
cbp00b84e7a8b56,2024,NMSU,1,pitching,24
cbp00b9d88b9825,2021,CP,1,batting,
