player_id,name,team,team name,division,year,age,w,l,g,gs,cg,sho,sv,ip,tbf,h,r,er,hr,bb,hbp,wp,bk,so,qualified
cbpd81fb2c169b3,Brendon Lopez,AAMU,Alabama A&M,1,2021,,0,0,2,0,0,0,0,2.0,14,4,6,6,1,3,1,1,0,1,False
cbp79217eb113ae,Cole Stewart,AAMU,Alabama A&M,1,2021,,0,0,6,0,0,0,0,10.0,60,16,19,14,0,13,1,2,0,6,False
cbp2987c3529d26,Jason Garcia,AAMU,Alabama A&M,1,2021,,0,0,8,3,0,0,0,17.2,103,26,24,16,1,20,3,4,0,14,False
cbp225b972da21e,Jason Marono,AAMU,Alabama A&M,1,2021,,0,2,5,1,0,0,0,12.2,63,15,18,15,1,9,3,0,0,5,False
cbp849b9956232b,Jose Figueroa,AAMU,Alabama A&M,1,2021,,4,4,10,8,1,0,0,42.2,219,61,45,34,4,26,3,10,0,56,True
cbp81ce09ad3090,Josue Espaillat,AAMU,Alabama A&M,1,2021,,0,0,4,0,0,0,0,4.2,28,6,10,10,0,7,1,3,0,6,False
cbp553255f68484,Josue Torres,AAMU,Alabama A&M,1,2021,,1,1,10,2,1,0,1,34.1,183,59,44,34,8,13,2,2,0,26,True
cbpe73ccb99b345,Khari Caver,AAMU,Alabama A&M,1,2021,,0,0,4,0,0,0,0,5.2,40,12,10,9,0,9,1,1,0,4,False
cbp95afb82df9ac,Michael Hovermill,AAMU,Alabama A&M,1,2021,,2,4,13,4,0,0,1,29.0,172,56,58,52,3,19,5,6,0,27,True
cbp9825dec68fff,Peyton Baker,AAMU,Alabama A&M,1,2021,22.0,2,5,10,8,1,0,0,45.1,235,70,49,42,5,20,9,5,0,30,True
cbpe902b554d374,Yavier Febus,AAMU,Alabama A&M,1,2021,,0,1,5,1,0,0,0,2.0,31,12,21,14,4,9,2,15,0,3,False
cbp93671b7ba079,Adam Stephenson,ACU,Abilene Christian,1,2021,,1,4,15,13,0,0,0,72.2,330,67,38,30,2,50,2,8,0,68,True
cbp5a16c52153d3,Austin Glaze,ACU,Abilene Christian,1,2021,,4,1,14,1,0,0,0,29.0,129,23,19,15,3,17,3,3,0,33,False
cbp72ca5d3b860f,Austin Ruesch,ACU,Abilene Christian,1,2021,,0,0,3,0,0,0,0,3.2,21,5,6,6,3,5,0,2,0,4,False
cbpb1635eb54fc2,Carter Sells,ACU,Abilene Christian,1,2021,,0,1,14,0,0,0,0,16.0,79,14,10,9,1,15,4,2,0,18,False
cbp907822707693,Connor Carlton,ACU,Abilene Christian,1,2021,,1,1,18,0,0,0,2,20.2,100,23,21,19,2,16,0,10,0,27,False
cbp6ced067b8bae,Eric Wimpee,ACU,Abilene Christian,1,2021,,0,0,3,0,0,0,0,6.0,24,2,1,1,0,2,2,0,0,6,False
cbpe40b79ff0d64,Genner Cervantes,ACU,Abilene Christian,1,2021,,7,2,15,15,2,1,0,69.1,330,83,64,54,9,37,6,12,0,47,True
cbpe21f119e3e07,Jack Junker,ACU,Abilene Christian,1,2021,,0,0,1,0,0,0,0,1.0,5,1,1,1,0,0,1,0,0,0,False
cbp141b78f2b202,Max Huffling,ACU,Abilene Christian,1,2021,,7,1,22,3,0,0,1,51.1,235,39,29,23,3,40,8,7,0,56,True
cbpac0fdd259f30,Nick Norton,ACU,Abilene Christian,1,2021,,0,0,10,0,0,0,0,5.2,33,5,5,4,1,10,2,4,0,6,False
cbp08d845acaf81,Owen Cuffe,ACU,Abilene Christian,1,2021,,0,0,4,0,0,0,0,6.1,38,12,12,12,2,8,0,6,0,11,False
cbp06897e87a418,Spencer Chirpich,ACU,Abilene Christian,1,2021,24.0,6,5,15,14,1,0,0,71.0,335,98,58,45,2,17,6,5,0,57,True
cbp7ea1e7878fda,Tanner Riley,ACU,Abilene Christian,1,2021,,6,2,22,0,0,0,9,39.2,186,35,21,19,3,28,4,7,0,53,False
cbpf7125588720c,Trevor Jackson,ACU,Abilene Christian,1,2021,,1,1,11,0,0,0,0,16.2,96,22,14,14,1,19,6,6,0,17,False
cbp917fc0470b61,Tyler Morgan,ACU,Abilene Christian,1,2021,20.0,3,3,17,11,0,0,0,71.0,324,68,52,46,7,40,8,11,0,69,True
cbp7795c6465d20,Zach Smith,ACU,Abilene Christian,1,2021,,0,0,2,0,0,0,0,2.1,10,3,1,1,0,0,0,0,0,1,False
cbp1c07249e40b2,Ben Hauser,AFA,Air Force,1,2021,,1,0,14,0,0,0,1,17.1,83,24,11,11,1,8,0,2,0,17,False
cbpae7b029a34c4,CJ Dornak,AFA,Air Force,1,2021,,4,1,15,1,0,0,0,26.2,141,45,38,31,6,11,3,0,0,19,False
cbpb915cd5a64bf,Connor Bright,AFA,Air Force,1,2021,,0,0,7,0,0,0,0,12.0,62,15,12,10,2,12,3,1,0,7,False
cbpeb6cf3e14198,Doyle Gehring,AFA,Air Force,1,2021,,0,2,16,3,0,0,1,31.0,155,41,29,28,7,19,3,0,0,21,False
cbpa1a35419a177,Duke Benge,AFA,Air Force,1,2021,20.0,0,0,5,0,0,0,0,8.0,36,12,7,7,2,1,1,1,0,6,False
cbpdf0068cbc020,Jake Sansing,AFA,Air Force,1,2021,,0,1,5,1,0,0,0,9.2,50,21,13,12,2,3,0,2,0,4,False
cbp1cf34643de46,Jason Shuger,AFA,Air Force,1,2021,,2,5,14,7,0,0,0,44.0,222,53,39,35,2,35,10,11,0,44,True
cbpd2cfdab04cb7,Joe Martinez III,AFA,Air Force,1,2021,,1,0,16,0,0,0,0,9.2,48,16,13,13,1,3,2,1,0,6,False
cbp84a06663863b,John Byrnes,AFA,Air Force,1,2021,,5,4,14,14,0,0,0,67.2,289,61,39,29,4,27,9,9,0,59,True
cbp20a676b29a38,Kyle Moats,AFA,Air Force,1,2021,,0,0,1,0,0,0,0,0.1,3,0,2,2,0,2,0,0,0,0,False
cbpfa91cd354997,Luke Chilcutt,AFA,Air Force,1,2021,,1,0,7,0,0,0,0,7.2,43,10,13,12,2,9,1,2,0,6,False
cbp64e62fe4981d,Mitchell Woelfle,AFA,Air Force,1,2021,,0,0,1,0,0,0,0,1.1,4,0,0,0,0,0,0,0,0,1,False
cbpd201da130b3e,Nathan Price,AFA,Air Force,1,2021,,0,0,11,0,0,0,1,12.0,65,20,14,13,4,7,4,1,0,5,False
