year,rank,name,position,school,team_id,is_college,age,bats,throws,current_level
2022,1,Druw Jones,OF,Wesleyan (GA),,False,22,R,R,AA
2022,2,Jackson Holliday,2B/SS,Stillwater (OK),,False,22,L,R,AA
2022,3,Elijah Green,OF,IMG Academy (FL),,False,22,R,R,A+
2022,4,Termarr Johnson,2B,Mays (GA),,False,21,L,R,AAA
2022,5,Brooks Lee,INF,Cal Poly,IPEDS:110422,True,25,S,R,MLB
2022,6,Kevin Parada,C,Georgia Tech,IPEDS:139755,True,24,R,R,AA
2022,7,Jacob Berry,OF/3B,Louisiana State,IPEDS:159391,True,25,S,R,AAA
2022,8,Cam Collier,1B/3B,Chipola JC,,False,21,L,R,AA
2022,9,Jace Jung,3B/2B,Texas Tech,IPEDS:229115,True,25,L,R,AAA
2022,10,Gavin Cross,OF,Virginia Tech,IPEDS:233921,True,25,L,L,AAA
2022,11,Brock Porter,RHP,Orchard Lake St. Mary's (MI),,False,22,R,R,A+
2022,12,Daniel Susac,C,Arizona,IPEDS:104179,True,24,R,R,AAA
2022,13,Justin Crawford,OF,Bishop Gorman (NV),,False,22,L,R,MLB
2022,14,Dylan Lesko,RHP,Buford (GA),,False,22,R,R,A
2022,15,Brandon Barriera,LHP,American Heritage (FL),,False,22,L,L,A
2022,16,Robby Snelling,LHP,McQueen (NV),,False,22,R,L,MLB
2022,17,Zach Neto,SS,Campbell,IPEDS:198136,True,25,R,R,MLB
2022,18,Chase DeLauter,OF,James Madison,IPEDS:232423,True,24,L,L,MLB
2022,19,Jackson Ferris,LHP,IMG Academy (FL),,False,22,L,L,AAA
2022,20,Cole Young,2B/SS,North Allegheny (PA),,False,22,L,R,MLB
2022,21,Jett Williams,SS/2B/OF,Rockwall-Heath (TX),,False,22,R,R,AAA
2022,22,Dylan Beavers,OF,California,IPEDS:110635,True,24,L,R,MLB
2022,23,Jordan Beck,OF,Tennessee,IPEDS:221759,True,25,R,R,MLB
2022,24,Cade Horton,RHP,Oklahoma,IPEDS:207500,True,24,R,R,MLB
2022,25,Connor Prielipp,LHP,Alabama,IPEDS:100751,True,25,L,L,MLB
2022,26,Gabriel Hughes,RHP,Gonzaga,IPEDS:235316,True,24,R,R,AAA
2022,27,Blade Tidwell,RHP,Tennessee,IPEDS:221759,True,24,R,R,AAA
2022,28,Peyton Graham,SS,Oklahoma,IPEDS:207500,True,25,R,R,AA
2022,29,Sterlin Thompson,OF,Florida,IPEDS:134130,True,24,L,R,AAA
2022,30,Carson Whisenhunt,LHP,East Carolina,IPEDS:198464,True,25,L,L,AAA
2022,31,Cayden Wallace,3B,Arkansas,IPEDS:106397,True,24,R,R,AA
2022,32,Drew Gilbert,OF,Tennessee,IPEDS:221759,True,25,L,L,MLB
2022,33,Brock Jones,OF,Stanford,IPEDS:243744,True,25,L,L,AAA
2022,34,Cooper Hjerpe,LHP,Oregon State,IPEDS:209542,True,25,L,L,AA
2022,35,Tucker Toman,SS/3B,Hammond (SC),,False,22,S,R,A+
2022,36,Justin Campbell,RHP,Oklahoma State,IPEDS:207388,True,25,L,R,AA
2022,37,Jacob Miller,RHP,Liberty Union (OH),,False,22,R,R,AA
2022,38,Kumar Rocker,RHP,Vanderbilt,IPEDS:221999,True,26,R,R,MLB
2022,39,Jacob Melton,OF,Oregon State,IPEDS:209542,True,25,L,L,AAA
2022,40,Henry Bolte,OF,Palo Alto (CA),,False,22,R,R,AAA
2022,41,Logan Tanner,C,Mississippi State,IPEDS:176080,True,25,R,R,A+
2022,42,Andrew Dutkanych IV,RHP,Vanderbilt,IPEDS:221999,True,22,R,R,A
2022,43,Peyton Pallette,RHP,Arkansas,IPEDS:106397,True,25,R,R,MLB
